strain	accession	subtype	date	host	country	region	species	broad	order
A/swine/Iowa/A02751065/2022	OP950905	H3N2	2022-10-20	Swine	Usa	?	Swine	swine	Swine
A/swine/Ohio/A02751108/2022	OP950907	H3N2	2022-10-26	Swine	Usa	?	Swine	swine	Swine
A/swine/Missouri/A02751007/2022	OP950921	H3N2	2022-10-11	Swine	Usa	?	Swine	swine	Swine
A/swine/Iowa/A02751136/2022	OP950943	H3N2	2022-10-28	Swine	Usa	?	Swine	swine	Swine
A/swine/Nebraska/A02751119/2022	OP950945	H3N2	2022-10-26	Swine	Usa	?	Swine	swine	Swine
A/swine/Missouri/A02751137/2022	OP950947	H3N2	2022-11-01	Swine	Usa	?	Swine	swine	Swine
A/swine/Iowa/A02751012/2022	OP950987	H3N2	2022-10-12	Swine	Usa	?	Swine	swine	Swine
A/swine/Iowa/A02751094/2022	OP950999	H3N2	2022-10-25	Swine	Usa	?	Swine	swine	Swine
A/Michigan/UOM10044986404/2022	OP952702	H3N2	2022-04-12	Human	Usa	?	Human	human	Human
A/swine/Illinois/A02750966/2022	OP903559	H3N2	2022-10-05	Swine	Usa	?	Swine	swine	Swine
A/swine/Iowa/A02751004/2022	OP903563	H3N2	2022-10-12	Swine	Usa	?	Swine	swine	Swine
A/swine/Iowa/A02751003/2022	OP903575	H3N2	2022-10-10	Swine	Usa	?	Swine	swine	Swine
A/swine/Missouri/A02750981/2022	OP903581	H3N2	2022-10-07	Swine	Usa	?	Swine	swine	Swine
A/swine/Iowa/A02750974/2022	OP903593	H3N2	2022-10-06	Swine	Usa	?	Swine	swine	Swine
A/swine/Iowa/A02750961/2022	OP903605	H3N2	2022-10-05	Swine	Usa	?	Swine	swine	Swine
A/swine/Iowa/A02750995/2022	OP903625	H3N2	2022-10-10	Swine	Usa	?	Swine	swine	Swine
A/Bufflehead/Alberta/600/2021	OP723671	H3N2	2021-08-26	?	Canada	?	?	?	?
A/swine/Oklahoma/A02712150/2022	OP703692	H3N2	2022-09-09	Swine	Usa	?	Swine	swine	Swine
A/swine/Texas/A02711858/2022	OP703695	H3N2	2022-07-29	Swine	Usa	?	Swine	swine	Swine
A/swine/Oklahoma/A02712154/2022	OP703709	H3N2	2022-09-21	Swine	Usa	?	Swine	swine	Swine
A/swine/Oklahoma/A02712149/2022	OP703719	H3N2	2022-09-09	Swine	Usa	?	Swine	swine	Swine
A/DistrictOfColumbia/03/2021	OP687283	H3N2	2021-11-13	Human	Usa	?	Human	human	Human
A/swine/Iowa/20TOSU2329/2020	OP654931	H3N2	2020-07-10	Swine	Usa	?	Swine	swine	Swine
A/swine/NorthCarolina/A02750898/2022	OP622348	H3N2	2022-09-15	Swine	Usa	?	Swine	swine	Swine
A/swine/NorthCarolina/A02750890/2022	OP622368	H3N2	2022-09-13	Swine	Usa	?	Swine	swine	Swine
A/swine/NorthCarolina/A02750868/2022	OP596648	H3N2	2022-09-07	Swine	Usa	?	Swine	swine	Swine
A/swine/Iowa/B58578/2022	OP584944	H3N2	2022-06-17	Swine	Usa	?	Swine	swine	Swine
A/SaudiArabia/VRG-138/2020	OP536417	H3N2	2020-12-25	Human	Saudi arabia	?	Human	human	Human
A/swine/Nebraska/A02750817/2022	OP454916	H3N2	2022-08-23	Swine	Usa	?	Swine	swine	Swine
A/swine/Iowa/A02750797/2022	OP454920	H3N2	2022-08-18	Swine	Usa	?	Swine	swine	Swine
A/swine/Iowa/A02750816/2022	OP454932	H3N2	2022-08-23	Swine	Usa	?	Swine	swine	Swine
A/swine/Iowa/A02750793/2022	OP454953	H3N2	2022-08-11	Swine	Usa	?	Swine	swine	Swine
A/swine/Ohio/A02750788/2022	OP454975	H3N2	2022-08-10	Swine	Usa	?	Swine	swine	Swine
A/swine/Indiana/A02750772/2022	OP379143	H3N2	2022-08-05	Swine	Usa	?	Swine	swine	Swine
A/swine/Texas/A02711849/2022	OP292946	H3N2	2022-06-22	Swine	Usa	?	Swine	swine	Swine
A/swine/Iowa/A02750740/2022	OP265143	H3N2	2022-07-26	Swine	Usa	?	Swine	swine	Swine
A/swine/Iowa/A02750730/2022	OP243299	H3N2	2022-07-19	Swine	Usa	?	Swine	swine	Swine
A/swine/Iowa/A02750722/2022	OP243315	H3N2	2022-07-14	Swine	Usa	?	Swine	swine	Swine
A/swine/Iowa/A02750729/2022	OP243317	H3N2	2022-07-19	Swine	Usa	?	Swine	swine	Swine
A/DistrictOfColumbia/41/2022	OP213020	H3N2	2022-05-21	Human	Usa	?	Human	human	Human
A/swine/Pennsylvania/A02750718/2022	OP162489	H3N2	2022-07-13	Swine	Usa	?	Swine	swine	Swine
A/swine/NorthCarolina/A02750694/2022	OP162503	H3N2	2022-06-30	Swine	Usa	?	Swine	swine	Swine
A/swine/Iowa/A02750658/2022	OP023979	H3N2	2022-06-21	Swine	Usa	?	Swine	swine	Swine
A/swine/Nebraska/A02524410/2022	OP023983	H3N2	2022-06-22	Swine	Usa	?	Swine	swine	Swine
A/swine/Iowa/C39563/2022	ON965219	H3N2	2022-04-22	Swine	Usa	?	Swine	swine	Swine
A/Arizona/21/2022	ON903389	H3N2	2022-04-13	Human	Usa	?	Human	human	Human
A/Minnesota/23/2022	ON904472	H3N2	2022-04-12	Human	Usa	?	Human	human	Human
A/swine/Iowa/21TOSU0666/2021	ON773846	H3N2	2021-05-27	Swine	Usa	?	Swine	swine	Swine
A/swine/Indiana/21TOSU1311/2021	ON775469	H3N2	2021-06-17	Swine	Usa	?	Swine	swine	Swine
A/swine/NorthCarolina/A02636673/2022	ON722532	H3N2	2022-05-05	Swine	Usa	?	Swine	swine	Swine
A/swine/Illinois/A02636634/2022	ON529329	H3N2	2022-04-12	Swine	Usa	?	Swine	swine	Swine
A/swine/Minnesota/A02711797/2022	ON427058	H3N2	2022-03-22	Swine	Usa	?	Swine	swine	Swine
A/swine/Minnesota/A02711696/2022	ON427094	H3N2	2022-02-07	Swine	Usa	?	Swine	swine	Swine
A/swine/NorthCarolina/A02711714/2022	ON427104	H3N2	2022-03-30	Swine	Usa	?	Swine	swine	Swine
A/swine/Texas/A02636569/2022	ON306644	H3N2	2022-03-17	Swine	Usa	?	Swine	swine	Swine
A/swine/Nebraska/A02636561/2021	ON110294	H3N2	2021-03-08	Swine	Usa	?	Swine	swine	Swine
A/swine/Pennsylvania/A02636531/2022	ON045372	H3N2	2022-02-28	Swine	Usa	?	Swine	swine	Swine
A/swine/Minnesota/A02636519/2022	ON045408	H3N2	2022-02-23	Swine	Usa	?	Swine	swine	Swine
A/swine/Iowa/A02636495/2022	OM978850	H3N2	2022-02-16	Swine	Usa	?	Swine	swine	Swine
A/swine/Indiana/A02636487/2022	OM978854	H3N2	2022-02-10	Swine	Usa	?	Swine	swine	Swine
A/swine/Iowa/A02636490/2022	OM978856	H3N2	2022-02-14	Swine	Usa	?	Swine	swine	Swine
A/swine/Iowa/A02636493/2022	OM978876	H3N2	2022-02-15	Swine	Usa	?	Swine	swine	Swine
A/RuddyTurnstone/Delaware/193/2021	OM965781	H3N2	2021-06-01	?	Usa	?	?	?	?
A/duck/Bangladesh/46090/2020	OM938300	H3N2	2020-10-22	Avian	Bangladesh	?	Duck	duck	Anseriformes
A/swine/Iowa/A02636448/2022	OM935891	H3N2	2022-01-28	Swine	Usa	?	Swine	swine	Swine
A/swine/Indiana/A02636368/2022	OM865150	H3N2	2022-01-10	Swine	Usa	?	Swine	swine	Swine
A/swine/Iowa/A02636382/2022	OM865162	H3N2	2022-01-12	Swine	Usa	?	Swine	swine	Swine
